r0,welfare_efficiency
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06939751971667098
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07420542466872661
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.082001969424243
50.0,0.9799999999999998
50.0,0.0971297437922845
50.0,1.0
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.0675
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07090005893809109
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07587029299360815
50.0,0.9799999999999998
50.0,0.0839364368504204
50.0,1.0
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06859375
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.0720658091241079
50.0,0.9799999999999998
50.0,0.07715414077486629
50.0,1.0
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.069375
50.0,0.9799999999999998
50.0,0.07289613730471707
50.0,1.0
50.0,0.9799999999999998
50.0,0.06984375
50.0,1.0
50.0,1.0
50.0,0.8599999999999988
50.0,0.8799999999999989
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06285953409608667
50.0,0.8799999999999989
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06687782921992085
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07331906337393412
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.08593565243445098
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.12419780238092583
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.654021085759264
50.0,0.9799999999999998
50.0,0.9932655700683598
50.0,1.0
50.0,0.8799999999999989
