m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,g2_cooperative,g2_conditional_cooperator,g2_compensating_cooperator,g2_selfish,g2_sanctioning,g3_cooperative,g3_conditional_cooperator,g3_compensating_cooperator,g3_selfish,g3_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
4,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,1,2,0,0,1,0.9588573767084396,False
4,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,0,0,2,0,0,0,0,1,3,0,0.023262729530535688,True
4,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,2,0.9194386893236984,False
4,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,3,0,0.5684658076495366,False
4,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0.04249129418505983,True
4,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0.056440489688543025,True
4,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,2,0,0,1,1,0.8962883272890376,False
4,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,2,0,1,0.026027713442426728,True
4,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,3,0,0,1,0.03819192937057949,True
4,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,3,1,0,0,0.0714859314203057,True
4,0,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0.028385713876920154,True
4,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0.9183064539983679,False
4,1,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,1,2,0.03793160080855594,True
4,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,2,1,1,0.052886137525525706,True
4,1,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0.9028390145055742,False
4,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,1,0,0,3,0,0.0469322188276867,True
4,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,2,0,2,0,0.05094764506109099,True
4,0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,3,0.8997402176677701,False
4,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,1,0,1,2,0,0.2702427966714433,False
4,1,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,2,0,1,0,1,0.05316005389067188,True
4,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,1,1,0,0.4081674094602605,True
4,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,1,0,1,2,1,0,0,1,0.12136228911061311,True
4,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,2,2,0,0.07525329447918506,True
4,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,4,0.03383293334003997,True
4,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,1,2,1,0,0.05940871111902917,True
4,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0.012189117648897026,True
4,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,3,0,0.020595513949421242,True
4,1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,0,2,1,0,0,1,0.055551525013205684,True
4,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,2,0,1,1,0.04983591698472439,True
