m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
2,2,0,0,1,1,0,1,0,2,1,2,0,2,0,0,0.9588798242282454,False
2,1,0,0,0,3,0,1,1,1,1,0,1,1,2,0,0.05472264300779841,True
2,0,0,0,2,2,0,0,3,0,1,0,1,2,0,1,0.9179457075985856,False
2,1,0,0,2,1,0,1,0,0,3,3,1,0,0,0,0.902721631072983,False
2,1,1,2,0,0,0,1,1,2,0,0,0,2,0,2,0.05218911764889696,True
2,0,0,0,1,3,0,4,0,0,0,0,1,1,0,2,-0.01524340832134222,True
2,2,0,0,1,1,1,1,0,0,2,0,1,2,0,1,0.9196977053567442,False
2,0,2,0,2,0,0,0,0,4,0,3,1,0,0,0,0.06333055555555556,True
2,0,2,0,2,0,2,0,0,1,1,0,0,1,1,2,0.021524304811332315,True
2,3,0,0,1,0,0,0,3,1,0,1,1,1,1,0,0.10569522546426137,True
2,1,0,1,0,2,2,0,0,1,1,0,0,1,1,2,0.8987463885751783,False
2,0,0,0,0,4,0,0,1,1,2,1,1,1,0,1,0.8594666929228219,False
2,0,2,0,0,2,0,3,0,0,1,1,1,0,2,0,0.03492315281754721,True
2,0,2,2,0,0,0,2,0,0,2,0,0,2,2,0,0.05051138201757235,True
2,0,0,0,2,2,1,2,1,0,0,0,0,0,3,1,0.039640671208421206,True
2,0,0,0,1,3,1,0,2,1,0,0,1,3,0,0,0.40535864967891866,True
2,0,0,1,3,0,0,2,1,0,1,0,0,3,0,1,0.04693221882768671,True
2,0,1,1,2,0,0,1,1,2,0,0,0,1,0,3,0.010901854588659849,True
2,1,2,1,0,0,3,0,0,0,1,0,0,3,1,0,0.155403484218235,True
2,1,0,1,2,0,1,0,1,2,0,0,1,3,0,0,0.07701089975020048,True
