m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
1,2,0,3,2,1,2,0,0,0,2,0.9383322083764879,False
1,1,0,1,3,3,1,0,1,1,1,0.9178139858380822,False
1,1,1,4,0,2,3,0,0,0,1,0.9374595912506188,False
1,0,1,1,6,0,1,1,1,1,0,0.0619,True
1,5,0,0,0,3,0,1,3,0,0,0.9363232061548479,False
1,0,4,0,0,4,0,0,1,0,3,0.8591602903174839,False
1,2,4,1,0,1,2,0,0,0,2,0.9396151071742138,False
1,0,0,0,0,8,3,0,0,1,0,0.8331233720227756,False
1,5,1,1,0,1,3,1,0,0,0,0.9734593370118422,False
1,2,3,0,2,1,0,2,0,0,2,0.9249884934988709,False
1,1,0,3,0,4,2,0,0,0,2,0.8777179499370924,False
1,0,0,5,0,3,1,0,2,0,1,0.9118603710805115,False
1,2,1,1,0,4,1,0,1,1,1,0.899062214653641,False
1,2,2,1,0,3,0,1,0,0,3,0.8797531652944689,False
1,2,6,0,0,0,1,0,0,3,0,0.06899722222222222,True
1,1,3,2,0,2,1,0,1,0,2,0.9191162402019667,False
1,2,2,1,2,1,1,2,0,1,0,0.08537368416360684,True
1,1,0,0,2,5,1,2,0,0,1,0.8771696113160672,False
1,2,3,2,0,1,1,0,0,2,1,0.958796267540055,False
1,1,6,1,0,0,0,1,0,1,2,0.03400735993659647,True
1,0,2,2,4,0,1,2,1,0,0,0.06783902476819466,True
1,2,2,1,1,2,1,1,1,0,1,0.9398876163342089,False
1,2,2,3,0,1,0,1,2,0,1,0.9579712033504284,False
1,2,1,0,2,3,1,0,0,3,0,0.04720126777106002,True
1,1,1,0,6,0,0,0,0,0,4,-0.0159227140601513,True
1,0,6,0,0,2,1,0,0,1,2,0.9058455398020812,False
1,0,2,5,1,0,2,0,0,0,2,0.09384799930364225,True
1,3,1,3,0,1,1,0,1,2,0,0.9530881822005969,False
1,1,2,1,3,1,2,0,0,1,1,0.9560546793605669,False
1,1,1,5,0,1,0,2,0,2,0,0.09918398479460283,True
1,1,3,2,2,0,2,0,2,0,0,0.08077865733495475,True
1,3,2,0,1,2,0,1,1,2,0,0.07326131456653105,True
1,2,2,0,3,1,0,0,2,1,1,0.9565913767208774,False
1,0,5,0,0,3,3,0,0,0,1,0.9165770996457068,False
1,2,2,1,0,3,1,0,2,0,1,0.9190423712936562,False
1,0,1,0,2,5,0,2,2,0,0,0.09566736071304299,True
1,2,2,2,1,1,1,0,1,0,2,0.9389891276287822,False
1,0,3,1,0,4,0,2,0,0,2,0.8773211626391086,False
1,0,1,5,0,2,0,0,0,3,1,0.9370012456864953,False
1,0,0,2,6,0,0,3,0,0,1,0.043330555555555594,True
1,1,2,2,3,0,0,0,2,0,2,0.03811697379948904,True
1,1,2,0,4,1,1,2,1,0,0,0.0920643327236654,True
1,4,2,1,0,1,0,1,3,0,0,0.9750737345483023,False
1,2,5,1,0,0,1,1,1,1,0,0.07502003804142486,True
1,1,3,0,3,1,1,2,0,0,1,0.24645128942499353,True
1,0,3,3,0,2,0,1,0,3,0,0.05121609410207154,True
1,2,2,0,1,3,0,0,0,0,4,0.8583726679515434,False
1,4,3,0,1,0,0,0,3,1,0,0.08452335913449811,True
1,3,1,1,3,0,1,3,0,0,0,0.07316005389067184,True
1,0,3,0,3,2,0,1,2,0,1,0.9314978522355142,False
1,3,2,1,2,0,3,0,0,1,0,0.081667168250454,True
1,1,2,1,2,2,0,0,1,1,2,0.9183179887562389,False
1,2,0,0,0,6,0,3,0,0,1,0.8571438190861514,False
1,5,0,3,0,0,0,1,0,0,3,0.9383236709339611,False
1,1,2,0,4,1,0,1,0,2,1,0.12670811528924555,True
1,3,2,1,1,1,2,0,1,1,0,0.9668194503517037,False
1,2,2,1,2,1,3,0,1,0,0,0.9793092064391148,False
1,2,0,0,1,5,1,0,1,1,1,0.8789447578671997,False
1,6,1,0,0,1,2,0,0,1,1,0.9590474373990606,False
1,2,1,0,0,5,2,2,0,0,0,0.876293546399598,False
1,1,1,2,4,0,2,0,0,2,0,0.06666639312745606,True
1,4,4,0,0,0,0,1,1,1,1,0.06498049889649907,True
1,3,0,2,0,3,2,0,2,0,0,0.9376040005118644,False
1,1,2,0,1,4,0,3,1,0,0,0.03780628137548696,True
1,3,0,3,0,2,0,3,0,0,1,0.939558545368319,False
1,4,0,1,0,3,1,0,0,0,3,0.879433825408039,False
1,3,1,0,2,2,3,0,0,1,0,0.9435742625358261,False
1,1,2,4,1,0,0,2,2,0,0,0.09018974428485356,True
1,0,4,2,1,1,2,0,0,1,1,0.9588138686164028,False
1,0,0,6,0,2,1,0,0,1,2,0.9147898713190841,False
1,0,3,2,0,3,0,4,0,0,0,0.03882891407439986,True
1,1,0,0,6,1,1,0,1,1,1,0.9460752205036403,False
1,4,3,0,1,0,4,0,0,0,0,0.09555565175227057,True
1,0,0,6,2,0,0,1,0,2,1,0.089148338638582,True
1,0,1,5,2,0,0,2,1,1,0,0.07905814843227055,True
1,1,0,5,1,1,0,1,1,0,2,0.9360559455993375,False
1,2,4,0,2,0,0,2,0,2,0,0.06766388888888888,True
1,0,0,4,2,2,1,2,1,0,0,0.42833480750244024,True
1,1,1,1,0,5,1,0,2,0,1,0.8786526380746185,False
1,1,5,0,2,0,2,0,1,1,0,0.06906918952123499,True
1,1,1,1,4,1,0,0,1,2,1,0.9500018500918318,False
1,0,2,4,2,0,1,2,1,0,0,0.0784904896659544,True
1,1,0,6,1,0,0,0,0,2,2,0.9390385774585487,False
1,4,0,3,1,0,1,1,1,0,1,0.9671617059767827,False
1,1,2,3,0,2,0,0,0,0,4,0.8784622096257481,False
1,6,0,0,2,0,1,1,0,0,2,0.16136228911061307,True
1,0,5,2,0,1,1,1,1,1,0,0.10152787418300228,True
1,4,0,2,2,0,1,2,1,0,0,0.1095735395461937,True
1,1,5,0,0,2,4,0,0,0,0,0.9565770996457068,False
1,3,2,1,0,2,0,2,1,0,1,0.9396151071742137,False
1,1,2,5,0,0,0,2,1,0,1,0.13120425029146152,True
1,0,4,2,0,2,2,0,0,0,2,0.9197576925149634,False
1,1,2,4,1,0,0,0,0,3,1,0.07164858512973878,True
1,1,0,6,1,0,1,0,2,1,0,0.919291457354175,False
1,2,2,1,3,0,1,2,0,0,1,0.05366717140157759,True
1,3,0,0,1,4,0,1,1,2,0,0.11395091110770399,True
1,4,0,1,0,3,2,0,1,1,0,0.9333193403169533,False
1,5,1,0,0,2,0,1,0,1,2,0.9178366058935234,False
1,2,1,0,5,0,3,1,0,0,0,0.0669557992352514,True
1,0,0,1,4,3,1,1,2,0,0,0.9302689083367496,False
1,2,0,3,0,3,0,0,0,3,1,0.917357146714325,False
1,0,0,7,0,1,1,3,0,0,0,0.6431372123558414,False
1,0,1,3,3,1,2,0,1,1,0,0.9623937169931022,False
1,0,2,1,5,0,0,0,1,1,2,0.02562977272329248,True
1,0,4,0,3,1,1,1,1,0,1,0.26218848219847507,True
1,1,0,0,2,5,0,2,0,2,0,0.0033835156583848195,True
1,1,2,0,3,2,1,0,1,2,0,0.0744803814764833,True
1,1,0,0,7,0,1,1,1,0,1,0.04120419173594054,True
1,0,4,3,0,1,1,2,1,0,0,0.13090966539883245,True
1,0,3,5,0,0,0,0,2,1,1,0.09373399763165749,True
