initial_level,information_model,config_name,seed,num_agents,rounds,total_harvest,mean_agent_payoff,efficiency,final_resource_level,sustainability_ratio,mean_resource_level,collapsed,collapse_round,survival_time,over_usage_rate,payoff_gini
90.0,global,E1,1,8,100,1033.6,129.2,1.0335999999999999,50.0,0.5,50.0,False,,100,0.01,0.0
90.0,global,E1,2,8,100,1033.6,129.2,1.0335999999999999,50.0,0.5,50.0,False,,100,0.01,0.0
90.0,global,E1,3,8,100,1033.6,129.2,1.0335999999999999,50.0,0.5,50.0,False,,100,0.01,0.0
90.0,global,E1,4,8,100,1033.6,129.2,1.0335999999999999,50.0,0.5,50.0,False,,100,0.01,0.0
90.0,global,E1,5,8,100,1033.6,129.2,1.0335999999999999,50.0,0.5,50.0,False,,100,0.01,0.0
90.0,private,E1,1,8,100,1000.0,125.0,1.0,52.289453416379494,0.5228945341637949,56.5733892690833,False,,100,0.0,0.0
90.0,private,E1,2,8,100,1000.0,125.0,1.0,52.289453416379494,0.5228945341637949,56.5733892690833,False,,100,0.0,0.0
90.0,private,E1,3,8,100,1000.0,125.0,1.0,52.289453416379494,0.5228945341637949,56.5733892690833,False,,100,0.0,0.0
90.0,private,E1,4,8,100,1000.0,125.0,1.0,52.289453416379494,0.5228945341637949,56.5733892690833,False,,100,0.0,0.0
90.0,private,E1,5,8,100,1000.0,125.0,1.0,52.289453416379494,0.5228945341637949,56.5733892690833,False,,100,0.0,0.0
